generation,phase,best_fitness,mean_fitness,best_iou,hold_score,stability_score,stabilized_success,first_reach_step,hold_length,run_status,benchmark_target_best_stabilized,benchmark_target_best_mean_final_iou,mini_transfer_mean_best_iou,mini_transfer_mean_final_iou,mini_transfer_success_rate,mini_transfer_variance,mini_transfer_score,champion_score,champion_source,target_coverage_best,target_coverage_mean,area_ratio_mean,bar_coverage_best,trunk_coverage_best,top_bar_score,trunk_coverage_score,coverage_penalty,sparse_collapse_penalty,empty_collapse_penalty,collapse_gate,sparse_population_share,sparse_collapse_flag,top_bar_alignment_score,trunk_alignment_score,junction_score,off_axis_penalty,side_clutter_penalty,bar_endpoint_clutter,early_sparse_penalty,late_t_penalty,late_regression_flag,late_structure_penalty,pseudo_t_penalty
38,phase_cross,0.426228351294488,-0.5479195919314034,0.45,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.6428571428571429,0.43936011904761907,1.0829613095238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5625,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,phase_cross,0.3150543491401127,-0.7361213982543608,0.3950617283950617,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.5714285714285714,0.3843005952380953,0.9944196428571428,0.0,0.0,0.0,0.0,0.0,0.025714285714285724,0.0,1.0,0.6666666666666666,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,phase_cross,0.3302310377385117,-0.7366386935999337,0.42045454545454547,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.6607142857142857,0.41741071428571425,1.1607142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6458333333333334,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,phase_cross,0.4192341493414339,-0.4763903725671206,0.43037974683544306,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.6071428571428571,0.4680059523809524,1.2094494047619049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4791666666666667,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,phase_cross,0.3924010827400423,-0.41187118229039177,0.4266666666666667,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.5714285714285714,0.43154761904761907,1.0204613095238095,0.0,0.0,0.0,0.0,0.0,0.025714285714285724,0.0,1.0,0.7291666666666666,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,phase_cross,0.40235375118649497,-0.45470537608222455,0.40963855421686746,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.6071428571428571,0.43563988095238093,1.0305059523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6458333333333334,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,phase_cross,0.43852455373463795,-0.6994238013189101,0.425,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.6071428571428571,0.3735119047619047,0.9404761904761906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,phase_cross,0.4955022815118572,-0.5130729969413906,0.4852941176470588,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.5892857142857143,0.4285714285714286,1.0751488095238095,0.0,0.0,0.0,0.0,0.0,0.00964285714285711,0.0,1.0,0.5833333333333334,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,phase_cross,0.5360938147125066,-0.5959234999995813,0.5074626865671642,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.6071428571428571,0.3824404761904762,0.8783482142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.625,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,phase_cross,0.41862646882297827,-0.629792709595873,0.484375,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.5535714285714286,0.3764880952380953,0.9133184523809524,0.0,0.0,0.0,0.0,0.0,0.04178571428571424,0.0,1.0,0.6875,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
